Address,Rent,Beds,Baths,Type,Area_in_sqft,Rent_per_sqft,Rent_category,Frequency,Furnishing,Purpose,Posted_date,Age_of_listing_in_days,Location,City,Latitude,Longitude
"Cherrywoods, Dubailand, Dubai",200000,3,4,Townhouse,2232,89.61,High,Yearly,Unfurnished,For Rent,03-01-2024,109,Dubailand,Dubai,25.05865715,55.24599921
"DAMAC Heights, Dubai Marina, Dubai",360000,3,4,Apartment,1948,184.8,High,Yearly,Furnished,For Rent,03-01-2024,109,Dubai Marina,Dubai,25.0786415,55.1352524
123 Elm Street,1200,2,1,Apartment,850,1.41,Medium,Monthly,Unfurnished,Residential,2023-10-01,10,Downtown,Springfield,39.7817,-89.6501
456 Maple Avenue,950,1,1,Apartment,600,1.58,Low,Monthly,Furnished,Residential,2023-09-28,13,Midtown,Springfield,39.7991,-89.6436
789 Pine Lane,1800,3,2,House,1200,1.5,Medium,Monthly,Semi-furnished,Residential,2023-10-05,6,Suburb,Springfield,39.75,-89.65
101 Oak Circle,2200,4,3,House,2000,1.1,High,Monthly,Unfurnished,Residential,2023-10-03,8,Uptown,Springfield,39.78,-89.66
202 Birch Road,1500,2,2,Apartment,950,1.58,Medium,Monthly,Furnished,Residential,2023-09-30,11,City Center,Springfield,39.79,-89.64
303 Cedar Street,800,1,1,Studio,450,1.78,Low,Monthly,Semi-furnished,Residential,2023-10-07,4,Old Town,Springfield,39.77,-89.68
404 Spruce Avenue,2500,4,3,House,1800,1.39,High,Monthly,Unfurnished,Residential,2023-10-02,9,Greenfield,Springfield,39.765,-89.69
505 Willow Drive,1900,3,2,House,1500,1.27,Medium,Monthly,Furnished,Residential,2023-10-04,7,East End,Springfield,39.76,-89.67
606 Cherry Street,1000,2,1,Apartment,700,1.43,Medium,Monthly,Unfurnished,Residential,2023-09-29,12,West Side,Springfield,39.755,-89.675
707 Ash Lane,850,1,1,Studio,400,2.13,Low,Monthly,Semi-furnished,Residential,2023-10-06,5,North Park,Springfield,39.75,-89.66
808 Poplar Drive,2300,4,3,House,2100,1.1,High,Monthly,Furnished,Residential,2023-09-27,14,South Ridge,Springfield,39.745,-89.685
909 Aspen Avenue,1100,2,1,Apartment,750,1.47,Medium,Monthly,Unfurnished,Residential,2023-10-01,10,Central,Springfield,39.74,-89.69
1010 Sycamore Lane,1300,2,2,Apartment,820,1.59,Medium,Monthly,Furnished,Residential,2023-10-05,6,Westfield,Springfield,39.735,-89.695
1111 Magnolia Court,2600,5,4,House,2500,1.04,High,Monthly,Unfurnished,Residential,2023-09-30,11,New Town,Springfield,39.73,-89.7
1212 Redwood Place,900,1,1,Studio,500,1.8,Low,Monthly,Semi-furnished,Residential,2023-10-07,4,Hilltop,Springfield,39.725,-89.705
1313 Willow Lane,1700,3,2,Townhouse,1300,1.31,Medium,Monthly,Furnished,Residential,2023-10-03,8,Riverside,Springfield,39.72,-89.71
1414 Palm Drive,2800,5,4,House,2600,1.08,High,Monthly,Unfurnished,Residential,2023-09-28,13,Cedar Hills,Springfield,39.715,-89.715
1515 Cypress Court,950,1,1,Studio,480,1.98,Low,Monthly,Semi-furnished,Residential,2023-10-06,5,Lakeside,Springfield,39.71,-89.72
1616 Pine Crest,2000,4,2,House,1700,1.18,Medium,Monthly,Furnished,Residential,2023-09-29,12,Parkland,Springfield,39.705,-89.725
1717 Maplewood Avenue,1250,2,1,Apartment,800,1.56,Medium,Monthly,Unfurnished,Residential,2023-10-02,9,Brookline,Springfield,39.7,-89.73
1818 Elmwood Street,1400,3,2,Townhouse,1100,1.27,Medium,Monthly,Semi-furnished,Residential,2023-10-04,7,Forest Edge,Springfield,39.695,-89.735
