Address,Rent,Beds,Baths,Type,Area_in_sqft,Rent_per_sqft,Rent_category,Frequency,Furnishing,Purpose,Posted_date,Age_of_listing_in_days,Location,City,Latitude,Longitude
"Cherrywoods, Dubailand, Dubai",200000,3,4,Townhouse,2232,89.61,High,Yearly,Unfurnished,For Rent,03-01-2024,109,Dubailand,Dubai,25.05865715,55.24599921
"DAMAC Heights, Dubai Marina, Dubai",360000,3,4,Apartment,1948,184.8,High,Yearly,Furnished,For Rent,03-01-2024,109,Dubai Marina,Dubai,25.0786415,55.1352524
123 Maple Street,1200,2,1,Apartment,800,1.5,Low,Monthly,Unfurnished,Residential,2023-10-01,5,Downtown,Springfield,39.7817,-89.6501
456 Oak Avenue,2200,3,2,House,1500,1.47,Medium,Monthly,Furnished,Residential,2023-09-28,8,Suburbs,Greenville,34.8526,-82.394
789 Pine Lane,1800,2,2,Condo,1100,1.64,Medium,Monthly,Semi-furnished,Residential,2023-09-25,11,Midtown,Rivertown,36.8508,-76.2859
101 Elm Street,950,1,1,Studio,600,1.58,Low,Monthly,Unfurnished,Residential,2023-10-03,3,City Center,Mapleton,40.7128,-74.006
202 Birch Drive,3000,4,3,House,2500,1.2,High,Monthly,Furnished,Residential,2023-09-30,6,Countryside,Lakeside,38.627,-90.1994
303 Cedar Court,850,1,1,Apartment,500,1.7,Low,Monthly,Semi-furnished,Residential,2023-10-05,1,Downtown,Hilltown,37.7749,-122.4194
404 Spruce Lane,1900,3,2,Townhouse,1300,1.46,Medium,Monthly,Unfurnished,Residential,2023-09-27,9,Uptown,Riverwood,34.0522,-118.2437
505 Redwood Street,2750,4,3,House,2300,1.2,High,Monthly,Furnished,Residential,2023-09-29,7,Suburbs,Seaside,36.6002,-121.8947
606 Willow Avenue,1300,2,1,Apartment,900,1.44,Low,Monthly,Semi-furnished,Residential,2023-10-02,4,Midtown,Fairview,40.4406,-79.9959
707 Cypress Terrace,2400,3,2,Condo,1600,1.5,Medium,Monthly,Furnished,Residential,2023-09-26,10,City Center,Meadowbrook,41.8781,-87.6298
808 Alder Drive,1000,1,1,Studio,550,1.82,Low,Monthly,Unfurnished,Residential,2023-10-04,2,Downtown,Stonebridge,35.2271,-80.8431
909 Juniper Street,3200,4,3,House,2700,1.19,High,Monthly,Furnished,Residential,2023-09-24,12,Countryside,Greendale,32.7767,-96.797
1010 Poplar Lane,1450,2,1,Condo,950,1.53,Medium,Monthly,Semi-furnished,Residential,2023-09-23,13,Suburbs,Greenfield,33.7488,-84.388
1111 Chestnut Avenue,2100,3,2,Townhouse,1400,1.5,Medium,Monthly,Unfurnished,Residential,2023-09-22,14,Uptown,Brookside,38.9072,-77.0369
1212 Maplewood Drive,2700,4,3,House,2400,1.13,High,Monthly,Furnished,Residential,2023-09-21,15,Midtown,Clarksville,34.0522,-118.2437
1313 Ash Street,1150,1,1,Apartment,650,1.77,Low,Monthly,Unfurnished,Residential,2023-10-05,1,City Center,Riverdale,36.1627,-86.7816
1414 Pinehurst Lane,2250,3,2,Condo,1500,1.5,Medium,Monthly,Furnished,Residential,2023-09-20,16,Downtown,Lakewood,39.7392,-104.9903
1515 Birchwood Avenue,950,1,1,Studio,550,1.73,Low,Monthly,Semi-furnished,Residential,2023-10-04,2,Suburbs,Hillcrest,37.3382,-121.8863
1616 Maple Lane,3100,4,2,House,2600,1.19,High,Monthly,Furnished,Residential,2023-09-19,17,Countryside,Sunnyvale,37.3688,-122.0363
1717 Willow Way,1500,2,1,Apartment,1000,1.5,Medium,Monthly,Unfurnished,Residential,2023-09-18,18,Midtown,Oakridge,41.2524,-95.998
1818 Cedar Street,2700,4,3,House,2200,1.23,High,Monthly,Furnished,Residential,2023-09-17,19,City Center,Elmwood,32.7157,-117.1611
