Address,Rent,Beds,Baths,Type,Area_in_sqft,Rent_per_sqft,Rent_category,Frequency,Furnishing,Purpose,Posted_date,Age_of_listing_in_days,Location,City,Latitude,Longitude
"Cherrywoods, Dubailand, Dubai",200000,3,4,Townhouse,2232,89.61,High,Yearly,Unfurnished,For Rent,03-01-2024,109,Dubailand,Dubai,25.05865715,55.24599921
"DAMAC Heights, Dubai Marina, Dubai",360000,3,4,Apartment,1948,184.8,High,Yearly,Furnished,For Rent,03-01-2024,109,Dubai Marina,Dubai,25.0786415,55.1352524
123 Elm Street,1500,2,1,Apartment,750,2.0,Medium,Monthly,Unfurnished,Residential,2023-09-15,40,Downtown,Metropolis,40.7128,-74.006
456 Oak Avenue,2400,3,2,House,1200,2.0,High,Monthly,Furnished,Residential,2023-09-20,35,Suburbia,Metropolis,40.7306,-73.9352
789 Pine Lane,950,1,1,Condo,600,1.5833333,Low,Monthly,Semi-furnished,Residential,2023-10-01,24,Uptown,Metropolis,40.758,-73.9855
321 Birch Road,1800,2,2,Apartment,900,2.0,Medium,Monthly,Furnished,Residential,2023-09-30,25,Downtown,Metropolis,40.7527,-73.9772
654 Cedar Boulevard,3000,4,3,House,1500,2.0,High,Monthly,Unfurnished,Residential,2023-09-10,45,Suburbia,Metropolis,40.7648,-73.9808
987 Maple Street,2200,3,2,Condo,1100,2.0,High,Monthly,Semi-furnished,Residential,2023-10-05,20,Downtown,Metropolis,40.7488,-73.968
258 Spruce Lane,1600,2,1,Apartment,800,2.0,Medium,Monthly,Furnished,Residential,2023-10-10,15,Uptown,Metropolis,40.7812,-73.9665
369 Willow Avenue,1200,1,1,Apartment,700,1.7142857,Low,Monthly,Unfurnished,Residential,2023-09-25,30,Suburbia,Metropolis,40.748,-73.9845
147 Palm Street,1800,2,2,Condo,900,2.0,Medium,Monthly,Furnished,Residential,2023-09-18,37,Downtown,Metropolis,40.7561,-73.9725
753 Poplar Lane,2700,3,2,House,1350,2.0,High,Monthly,Semi-furnished,Residential,2023-09-12,43,Uptown,Metropolis,40.7168,-73.959
852 Fir Avenue,950,1,1,Apartment,580,1.637931,Low,Monthly,Unfurnished,Residential,2023-10-08,17,Suburbia,Metropolis,40.731,-73.997
159 Cypress Street,2000,2,2,Condo,1000,2.0,Medium,Monthly,Furnished,Residential,2023-10-12,13,Downtown,Metropolis,40.706,-74.01
951 Ash Lane,1250,1,1,Apartment,650,1.9230769,Low,Monthly,Semi-furnished,Residential,2023-10-03,22,Uptown,Metropolis,40.7456,-73.9869
753 Redwood Boulevard,2750,3,2,House,1400,1.9642857,High,Monthly,Unfurnished,Residential,2023-09-22,33,Suburbia,Metropolis,40.7525,-73.9934
369 Alder Avenue,1400,2,1,Apartment,700,2.0,Medium,Monthly,Furnished,Residential,2023-10-15,10,Downtown,Metropolis,40.742,-73.9916
147 Cherry Lane,2000,3,2,Condo,1000,2.0,Medium,Monthly,Furnished,Residential,2023-10-02,23,Uptown,Metropolis,40.762,-73.9712
654 Magnolia Street,950,1,1,Apartment,580,1.637931,Low,Monthly,Unfurnished,Residential,2023-09-28,27,Suburbia,Metropolis,40.714,-73.998
951 Juniper Lane,1250,1,1,Condo,650,1.9230769,Low,Monthly,Semi-furnished,Residential,2023-09-26,29,Downtown,Metropolis,40.743,-73.982
258 Dogwood Street,2800,3,2,House,1400,2.0,High,Monthly,Unfurnished,Residential,2023-10-07,18,Uptown,Metropolis,40.755,-73.9876
753 Linden Avenue,1500,2,1,Apartment,750,2.0,Medium,Monthly,Furnished,Residential,2023-09-19,36,Suburbia,Metropolis,40.72,-73.995
