Address,Rent,Beds,Baths,Type,Area_in_sqft,Rent_per_sqft,Rent_category,Frequency,Furnishing,Purpose,Posted_date,Age_of_listing_in_days,Location,City,Latitude,Longitude
"Cherrywoods, Dubailand, Dubai",200000,3,4,Townhouse,2232,89.61,High,Yearly,Unfurnished,For Rent,03-01-2024,109,Dubailand,Dubai,25.05865715,55.24599921
"DAMAC Heights, Dubai Marina, Dubai",360000,3,4,Apartment,1948,184.8,High,Yearly,Furnished,For Rent,03-01-2024,109,Dubai Marina,Dubai,25.0786415,55.1352524
123 Maple St,1500,2,1,Apartment,750,2.0,Medium,Monthly,Unfurnished,Residential,2023-10-01,10,Downtown,Seattle,47.6097,-122.3331
456 Oak Ave,2400,3,2,House,1200,2.0,Medium,Monthly,Unfurnished,Residential,2023-09-25,16,Suburb,Portland,45.5051,-122.675
789 Pine Rd,3200,4,3,House,1600,2.0,High,Monthly,Furnished,Residential,2023-09-20,21,Uptown,Austin,30.2672,-97.7431
101 Elm St,1200,1,1,Apartment,600,2.0,Low,Monthly,Semi-furnished,Residential,2023-10-05,6,Midtown,San Francisco,37.7749,-122.4194
202 Birch Ln,2600,3,2,Condo,1300,2.0,Medium,Monthly,Unfurnished,Residential,2023-09-28,13,Downtown,Chicago,41.8781,-87.6298
303 Cedar Blvd,1400,2,1,Apartment,700,2.0,Medium,Monthly,Furnished,Residential,2023-10-02,9,Suburb,Miami,25.7617,-80.1918
404 Spruce St,1800,2,2,Apartment,900,2.0,Medium,Monthly,Semi-furnished,Residential,2023-09-30,11,Uptown,Denver,39.7392,-104.9903
505 Walnut Ave,2200,3,2,House,1100,2.0,Medium,Monthly,Unfurnished,Residential,2023-10-03,8,Downtown,New York,40.7128,-74.006
606 Ash Pl,2800,4,3,House,1400,2.0,High,Monthly,Furnished,Residential,2023-09-22,19,Midtown,Los Angeles,34.0522,-118.2437
707 Maple Ave,1350,2,1,Apartment,675,2.0,Low,Monthly,Unfurnished,Residential,2023-10-04,7,Suburb,Boston,42.3601,-71.0589
808 Cherry St,2000,3,2,Condo,1000,2.0,Medium,Monthly,Furnished,Residential,2023-10-01,10,Uptown,Houston,29.7604,-95.3698
909 Willow Dr,1600,2,1,Apartment,800,2.0,Medium,Monthly,Semi-furnished,Residential,2023-09-29,14,Downtown,Phoenix,33.4484,-112.074
1010 Fir St,2500,3,2,House,1250,2.0,Medium,Monthly,Unfurnished,Residential,2023-09-26,15,Suburb,Philadelphia,39.9526,-75.1652
1111 Beech Ln,2300,3,2,Condo,1150,2.0,Medium,Monthly,Furnished,Residential,2023-09-21,20,Midtown,San Antonio,29.4241,-98.4936
1212 Pine Cir,1900,2,2,Apartment,950,2.0,Medium,Monthly,Semi-furnished,Residential,2023-09-23,18,Uptown,Dallas,32.7767,-96.797
1313 Oak St,1450,2,1,Apartment,725,2.0,Low,Monthly,Unfurnished,Residential,2023-09-27,14,Downtown,San Jose,37.3382,-121.8863
1414 Maple Ave,3100,4,3,House,1550,2.0,High,Monthly,Furnished,Residential,2023-09-24,17,Suburb,San Diego,32.7157,-117.1611
1515 Cedar St,1700,2,1,Apartment,850,2.0,Medium,Monthly,Semi-furnished,Residential,2023-09-30,11,Midtown,Jacksonville,30.3322,-81.6557
1616 Birch Blvd,1550,1,1,Apartment,775,2.0,Medium,Monthly,Unfurnished,Residential,2023-10-06,5,Downtown,Indianapolis,39.7684,-86.1581
1717 Spruce Cir,2050,3,2,Condo,1025,2.0,Medium,Monthly,Furnished,Residential,2023-09-25,16,Uptown,Columbus,39.9612,-82.9988
1818 Walnut Ave,2900,4,3,House,1450,2.0,High,Monthly,Semi-furnished,Residential,2023-09-19,22,Suburb,Fort Worth,32.7555,-97.3308
