Address,Rent,Beds,Baths,Type,Area_in_sqft,Rent_per_sqft,Rent_category,Frequency,Furnishing,Purpose,Posted_date,Age_of_listing_in_days,Location,City,Latitude,Longitude
"Cherrywoods, Dubailand, Dubai",200000,3,4,Townhouse,2232,89.61,High,Yearly,Unfurnished,For Rent,03-01-2024,109,Dubailand,Dubai,25.05865715,55.24599921
"DAMAC Heights, Dubai Marina, Dubai",360000,3,4,Apartment,1948,184.8,High,Yearly,Furnished,For Rent,03-01-2024,109,Dubai Marina,Dubai,25.0786415,55.1352524
123 Elm Street,1200,2,1,Apartment,800,1.5,Low,Monthly,Unfurnished,Residential,2023-09-15,45,Downtown,Springfield,39.799,-89.644
456 Oak Avenue,2500,3,2,Condo,1500,1.67,Medium,Monthly,Furnished,Residential,2023-10-01,29,Uptown,Metropolis,40.712,-74.005
789 Pine Road,1800,2,1,House,1200,1.5,Low,Monthly,Semi-furnished,Residential,2023-09-20,40,Suburb,Gotham,34.052,-118.244
101 Maple Lane,3200,4,3,House,2000,1.6,High,Monthly,Furnished,Residential,2023-10-05,25,Riverside,Star City,37.774,-122.419
202 Birch Boulevard,900,1,1,Apartment,600,1.5,Low,Monthly,Unfurnished,Residential,2023-09-10,50,City Center,Central City,41.878,-87.629
303 Cedar Court,2700,3,2,Townhouse,1600,1.69,Medium,Monthly,Furnished,Residential,2023-09-25,35,Waterfront,Bludhaven,42.36,-71.058
404 Walnut Way,1500,2,1,Apartment,900,1.67,Low,Monthly,Semi-furnished,Residential,2023-09-30,30,Historic District,Coast City,29.76,-95.369
505 Spruce Street,3500,4,3,House,2100,1.67,High,Monthly,Furnished,Residential,2023-10-03,27,Hillside,Emerald City,47.606,-122.332
606 Ash Alley,950,1,1,Studio,500,1.9,Low,Monthly,Unfurnished,Residential,2023-09-12,48,University District,Fawcett City,38.907,-77.037
707 Chestnut Circle,2800,3,2,Condo,1700,1.65,Medium,Monthly,Furnished,Residential,2023-10-07,23,Beachfront,Gateway City,33.749,-84.388
808 Willow Way,2200,2,2,Apartment,1300,1.69,Medium,Monthly,Semi-furnished,Residential,2023-09-18,42,Greenfield,Keystone City,39.952,-75.164
909 Poplar Place,1700,2,1,Townhouse,1100,1.55,Low,Monthly,Unfurnished,Residential,2023-09-27,33,Midtown,National City,37.774,-122.419
1010 Fir Drive,3600,4,3,House,2200,1.64,High,Monthly,Furnished,Residential,2023-10-09,21,Lakeside,Opal City,34.052,-118.244
1111 Cypress Lane,1000,1,1,Studio,550,1.82,Low,Monthly,Unfurnished,Residential,2023-09-05,55,Downtown,Ivy Town,40.712,-74.005
1212 Redwood Road,2950,3,2,Condo,1800,1.64,Medium,Monthly,Furnished,Residential,2023-10-12,18,Uptown,Hub City,41.878,-87.629
1313 Palm Path,2100,2,2,Apartment,1250,1.68,Medium,Monthly,Semi-furnished,Residential,2023-09-22,38,Suburb,Smallville,38.627,-90.199
1414 Pinecone Pass,1650,2,1,Townhouse,1050,1.57,Low,Monthly,Unfurnished,Residential,2023-09-29,31,Historic District,Central City,42.36,-71.058
1515 Olive Oval,3100,4,3,House,1900,1.63,High,Monthly,Furnished,Residential,2023-10-14,16,Riverside,Star City,29.76,-95.369
1616 Alder Alley,925,1,1,Studio,480,1.93,Low,Monthly,Unfurnished,Residential,2023-09-08,52,City Center,Metropolis,47.606,-122.332
1717 Maplewood Meadows,2600,3,2,Condo,1600,1.63,Medium,Monthly,Furnished,Residential,2023-10-16,14,Waterfront,Gotham,33.749,-84.388
1818 Birch Bay,2300,2,2,Apartment,1400,1.64,Medium,Monthly,Semi-furnished,Residential,2023-09-24,36,Greenfield,Bludhaven,39.952,-75.164
