Address,Rent,Beds,Baths,Type,Area_in_sqft,Rent_per_sqft,Rent_category,Frequency,Furnishing,Purpose,Posted_date,Age_of_listing_in_days,Location,City,Latitude,Longitude
"Cherrywoods, Dubailand, Dubai",200000,3,4.0,Townhouse,2232,89.61,High,Yearly,Unfurnished,For Rent,03-01-2024,109,Dubailand,Dubai,25.05865715,55.24599921
"DAMAC Heights, Dubai Marina, Dubai",360000,3,4.0,Apartment,1948,184.8,High,Yearly,Furnished,For Rent,03-01-2024,109,Dubai Marina,Dubai,25.0786415,55.1352524
123 Maple St,1200,2,1.0,Apartment,800,1.5,Low,Monthly,Unfurnished,Residential,2023-09-15,35,Downtown,Springfield,37.2081,-93.2923
456 Oak Ave,2000,3,2.0,House,1200,1.67,Medium,Monthly,Furnished,Residential,2023-09-20,30,Suburb,Springfield,37.2153,-93.2982
789 Pine Lane,3500,4,3.0,House,2000,1.75,High,Monthly,Semi-Furnished,Residential,2023-09-25,25,Uptown,Springfield,37.2215,-93.2999
101 Birch Rd,1400,2,1.5,Apartment,900,1.56,Low,Monthly,Unfurnished,Residential,2023-10-01,19,Northside,Springfield,37.2301,-93.3012
202 Cedar Blvd,2400,3,2.5,Condo,1500,1.6,Medium,Monthly,Furnished,Residential,2023-09-28,22,Eastside,Springfield,37.2355,-93.303
303 Elm St,950,1,1.0,Studio,600,1.58,Low,Monthly,Semi-Furnished,Residential,2023-09-10,40,Downtown,Springfield,37.2418,-93.3048
404 Walnut Dr,1850,2,2.0,Apartment,1100,1.68,Medium,Monthly,Furnished,Residential,2023-09-18,32,Suburb,Springfield,37.2483,-93.3067
505 Willow Ct,2900,3,3.0,House,1800,1.61,High,Monthly,Unfurnished,Residential,2023-09-30,20,Uptown,Springfield,37.2556,-93.3083
606 Aspen Way,1250,2,1.0,Apartment,850,1.47,Low,Monthly,Semi-Furnished,Residential,2023-09-22,28,Northside,Springfield,37.2621,-93.3101
707 Cedar St,2200,3,2.0,House,1400,1.57,Medium,Monthly,Furnished,Residential,2023-09-26,24,Eastside,Springfield,37.2684,-93.312
808 Birch St,3200,4,2.5,House,1900,1.68,High,Monthly,Unfurnished,Residential,2023-10-03,17,Westside,Springfield,37.275,-93.3145
909 Maple Ave,1050,1,1.0,Studio,650,1.62,Low,Monthly,Furnished,Residential,2023-09-12,38,Downtown,Springfield,37.2819,-93.3162
1010 Oak St,1950,2,1.5,Condo,1150,1.7,Medium,Monthly,Semi-Furnished,Residential,2023-09-14,36,Suburb,Springfield,37.2895,-93.3179
1111 Pine St,3050,4,3.0,House,1800,1.69,High,Monthly,Furnished,Residential,2023-09-19,31,Uptown,Springfield,37.2956,-93.3195
1212 Birch Ln,1300,2,1.0,Apartment,800,1.63,Low,Monthly,Unfurnished,Residential,2023-09-29,21,Northside,Springfield,37.3028,-93.3212
1313 Cedar Blvd,2350,3,2.5,Condo,1450,1.62,Medium,Monthly,Furnished,Residential,2023-09-23,27,Eastside,Springfield,37.3097,-93.3231
1414 Elm St,2800,3,3.0,House,1700,1.65,High,Monthly,Semi-Furnished,Residential,2023-10-05,15,Westside,Springfield,37.3156,-93.3248
1515 Walnut St,1100,1,1.0,Studio,700,1.57,Low,Monthly,Unfurnished,Residential,2023-09-11,39,Downtown,Springfield,37.3223,-93.3265
1616 Willow Ln,2100,2,2.0,Apartment,1300,1.62,Medium,Monthly,Semi-Furnished,Residential,2023-09-21,29,Suburb,Springfield,37.3289,-93.3282
1717 Maple Way,3100,4,2.5,House,2000,1.55,High,Monthly,Furnished,Residential,2023-10-04,16,Uptown,Springfield,37.3351,-93.3299
1818 Oak Dr,1350,2,1.5,Apartment,900,1.5,Low,Monthly,Unfurnished,Residential,2023-09-17,33,Northside,Springfield,37.342,-93.3316
