Address,Rent,Beds,Baths,Type,Area_in_sqft,Rent_per_sqft,Rent_category,Frequency,Furnishing,Purpose,Posted_date,Age_of_listing_in_days,Location,City,Latitude,Longitude
"Cherrywoods, Dubailand, Dubai",200000,3,4,Townhouse,2232,89.61,High,Yearly,Unfurnished,For Rent,03-01-2024,109,Dubailand,Dubai,25.05865715,55.24599921
"DAMAC Heights, Dubai Marina, Dubai",360000,3,4,Apartment,1948,184.8,High,Yearly,Furnished,For Rent,03-01-2024,109,Dubai Marina,Dubai,25.0786415,55.1352524
123 Maple St,1500,2,1,Apartment,800,1.875,Medium,Monthly,Unfurnished,Residential,2023-10-10,5,Downtown,Springfield,39.7817,-89.6501
456 Oak Ave,2200,3,2,House,1500,1.467,Medium,Monthly,Furnished,Residential,2023-10-08,7,Suburbs,Springfield,39.799,-89.643
789 Pine Rd,3000,4,3,House,2000,1.5,High,Monthly,Semi-furnished,Residential,2023-10-01,14,Uptown,Springfield,39.798,-89.644
321 Birch Blvd,1200,1,1,Apartment,600,2.0,Medium,Monthly,Unfurnished,Residential,2023-10-09,6,City Center,Springfield,39.794,-89.645
654 Cedar Dr,800,1,1,Apartment,450,1.778,Low,Monthly,Furnished,Residential,2023-10-12,3,Near Park,Springfield,39.797,-89.651
987 Elm St,1800,2,2,Condo,850,2.118,Medium,Monthly,Semi-furnished,Residential,2023-10-05,10,Downtown,Springfield,39.782,-89.649
159 Ash Ln,2500,3,2,House,1800,1.389,High,Monthly,Unfurnished,Residential,2023-10-07,8,Suburbs,Springfield,39.8,-89.647
753 Poplar Ct,950,1,1,Apartment,500,1.9,Low,Monthly,Furnished,Residential,2023-10-11,4,City Center,Springfield,39.795,-89.652
246 Walnut Cir,2700,4,3,House,2300,1.174,High,Monthly,Semi-furnished,Residential,2023-10-03,12,Uptown,Springfield,39.799,-89.65
369 Cherry Way,1400,2,1,Apartment,700,2.0,Medium,Monthly,Unfurnished,Residential,2023-10-02,13,Downtown,Springfield,39.783,-89.648
852 Pine St,2800,4,3,House,2100,1.333,High,Monthly,Furnished,Residential,2023-10-04,11,Suburbs,Springfield,39.801,-89.646
951 Fir Ln,1700,2,2,Condo,900,1.889,Medium,Monthly,Semi-furnished,Residential,2023-10-06,9,Uptown,Springfield,39.796,-89.653
174 Maple Ave,850,1,1,Apartment,400,2.125,Low,Monthly,Unfurnished,Residential,2023-10-13,2,Near Park,Springfield,39.793,-89.654
268 Cedar St,1950,3,2,Apartment,1100,1.773,Medium,Monthly,Furnished,Residential,2023-10-14,1,City Center,Springfield,39.792,-89.655
385 Birch Blvd,2500,3,2,House,1600,1.563,High,Monthly,Unfurnished,Residential,2023-10-15,0,Downtown,Springfield,39.782,-89.656
497 Oak Cir,1000,1,1,Apartment,500,2.0,Low,Monthly,Semi-furnished,Residential,2023-10-16,-1,Suburbs,Springfield,39.801,-89.657
630 Willow Ct,3200,4,3,House,2500,1.28,High,Monthly,Furnished,Residential,2023-10-17,-2,Uptown,Springfield,39.8,-89.658
742 Elm Blvd,1600,2,1,Apartment,800,2.0,Medium,Monthly,Unfurnished,Residential,2023-10-18,-3,City Center,Springfield,39.799,-89.659
859 Cherry Cir,2400,3,2,House,1800,1.333,High,Monthly,Semi-furnished,Residential,2023-10-19,-4,Downtown,Springfield,39.798,-89.66
962 Maple Dr,1300,2,1,Apartment,700,1.857,Medium,Monthly,Furnished,Residential,2023-10-20,-5,Suburbs,Springfield,39.797,-89.661
