Address,Rent,Beds,Baths,Type,Area_in_sqft,Rent_per_sqft,Rent_category,Frequency,Furnishing,Purpose,Posted_date,Age_of_listing_in_days,Location,City,Latitude,Longitude
"Cherrywoods, Dubailand, Dubai",200000,3,4,Townhouse,2232,89.61,High,Yearly,Unfurnished,For Rent,03-01-2024,109,Dubailand,Dubai,25.05865715,55.24599921
"DAMAC Heights, Dubai Marina, Dubai",360000,3,4,Apartment,1948,184.8,High,Yearly,Furnished,For Rent,03-01-2024,109,Dubai Marina,Dubai,25.0786415,55.1352524
123 Maple Street,1200,2,1,Apartment,800,1.5,Low,Monthly,Unfurnished,Residential,2023-10-01,10,Downtown,Springfield,39.7817,-89.6501
456 Oak Avenue,2500,3,2,Condo,1400,1.79,Medium,Monthly,Furnished,Residential,2023-09-29,12,Uptown,Metropolis,34.0522,-118.2437
789 Pine Lane,1800,2,2,Apartment,1000,1.8,Medium,Monthly,Semi-furnished,Residential,2023-10-05,6,Midtown,River City,40.7128,-74.006
101 Birch Road,950,1,1,Studio,500,1.9,Low,Monthly,Unfurnished,Residential,2023-10-02,9,Suburban,Pleasantville,37.7749,-122.4194
202 Cedar Court,3200,4,3,House,1800,1.78,High,Monthly,Furnished,Residential,2023-09-28,13,Suburban,Greenfield,34.0522,-118.2437
303 Elm Street,1450,2,1,Apartment,750,1.93,Medium,Monthly,Semi-furnished,Residential,2023-10-04,7,Downtown,Hill Valley,41.8781,-87.6298
404 Spruce Drive,2000,3,2,Condo,1200,1.67,Medium,Monthly,Furnished,Residential,2023-10-03,8,Uptown,Springfield,39.7817,-89.6501
505 Willow Lane,1100,1,1,Studio,600,1.83,Low,Monthly,Unfurnished,Residential,2023-10-06,5,Midtown,Metropolis,34.0522,-118.2437
606 Aspen Avenue,2700,3,2,House,1500,1.8,High,Monthly,Semi-furnished,Residential,2023-09-27,14,Suburban,River City,40.7128,-74.006
707 Cypress Street,1300,2,1,Apartment,700,1.86,Low,Monthly,Furnished,Residential,2023-10-07,4,Downtown,Pleasantville,37.7749,-122.4194
808 Chestnut Road,1900,2,2,Condo,950,2.0,Medium,Monthly,Semi-furnished,Residential,2023-10-08,3,Uptown,Greenfield,34.0522,-118.2437
909 Fir Lane,1750,2,1,Apartment,850,2.06,Medium,Monthly,Unfurnished,Residential,2023-09-30,11,Midtown,Hill Valley,41.8781,-87.6298
1010 Redwood Drive,3500,4,3,House,2000,1.75,High,Monthly,Furnished,Residential,2023-09-26,15,Suburban,Springfield,39.7817,-89.6501
1111 Maple Avenue,1150,1,1,Studio,550,2.09,Low,Monthly,Unfurnished,Residential,2023-10-09,2,Downtown,Metropolis,34.0522,-118.2437
1212 Pine Street,2600,3,2,Condo,1300,2.0,High,Monthly,Furnished,Residential,2023-09-25,16,Uptown,River City,40.7128,-74.006
1313 Oak Drive,1250,2,1,Apartment,650,1.92,Low,Monthly,Semi-furnished,Residential,2023-10-10,1,Midtown,Pleasantville,37.7749,-122.4194
1414 Birch Avenue,2300,3,2,House,1250,1.84,Medium,Monthly,Furnished,Residential,2023-09-24,17,Suburban,Greenfield,34.0522,-118.2437
1515 Cedar Lane,1050,1,1,Studio,550,1.91,Low,Monthly,Unfurnished,Residential,2023-10-11,0,Downtown,Hill Valley,41.8781,-87.6298
1616 Elm Drive,2800,3,2,Condo,1450,1.93,High,Monthly,Semi-furnished,Residential,2023-09-23,18,Uptown,Springfield,39.7817,-89.6501
1717 Spruce Avenue,1500,2,1,Apartment,800,1.87,Medium,Monthly,Furnished,Residential,2023-10-12,0,Midtown,Metropolis,34.0522,-118.2437
1818 Willow Street,2200,3,2,House,1150,1.91,Medium,Monthly,Semi-furnished,Residential,2023-09-22,19,Suburban,River City,40.7128,-74.006
