Address,Rent,Beds,Baths,Type,Area_in_sqft,Rent_per_sqft,Rent_category,Frequency,Furnishing,Purpose,Posted_date,Age_of_listing_in_days,Location,City,Latitude,Longitude
"Cherrywoods, Dubailand, Dubai",200000,3,4,Townhouse,2232,89.61,High,Yearly,Unfurnished,For Rent,03-01-2024,109,Dubailand,Dubai,25.05865715,55.24599921
"DAMAC Heights, Dubai Marina, Dubai",360000,3,4,Apartment,1948,184.8,High,Yearly,Furnished,For Rent,03-01-2024,109,Dubai Marina,Dubai,25.0786415,55.1352524
123 Maple Street,1500,2,1,Apartment,900,1.67,Medium,Monthly,Unfurnished,Residential,2023-10-01,10,Uptown,Springfield,39.7817,-89.6501
456 Oak Avenue,2500,3,2,House,2000,1.25,High,Monthly,Furnished,Residential,2023-10-03,8,Downtown,Rivertown,40.7128,-74.006
789 Birch Lane,1200,1,1,Condo,700,1.71,Medium,Monthly,Partially Furnished,Residential,2023-09-25,16,Midtown,Lakeview,34.0522,-118.2437
321 Pine Road,900,1,1,Studio,500,1.8,Low,Monthly,Unfurnished,Residential,2023-10-05,6,Suburb,Greenfield,36.7783,-119.4179
654 Cedar Court,2000,3,2,Townhouse,1500,1.33,Medium,Monthly,Furnished,Residential,2023-09-30,11,Eastside,Mapleton,41.8781,-87.6298
987 Elm Street,800,1,1,Apartment,600,1.33,Low,Monthly,Unfurnished,Residential,2023-10-07,4,Westside,Hilltown,37.7749,-122.4194
102 Willow Way,2600,4,3,House,2500,1.04,High,Monthly,Partially Furnished,Residential,2023-09-29,12,Countryside,Riverbend,40.4406,-79.9959
213 Cypress Circle,1800,2,2,Condo,1100,1.64,Medium,Monthly,Furnished,Residential,2023-10-02,9,City Center,Baytown,29.7604,-95.3698
304 Spruce Drive,700,0,1,Studio,400,1.75,Low,Monthly,Unfurnished,Residential,2023-10-06,5,Industrial Park,Metropolis,33.749,-84.388
432 Chestnut Boulevard,2200,3,2,Apartment,1800,1.22,High,Monthly,Furnished,Residential,2023-09-28,13,Old Town,Newport,47.6062,-122.3321
567 Poplar Street,1400,2,1,Townhouse,1000,1.4,Medium,Monthly,Partially Furnished,Residential,2023-10-04,7,Harbor District,Seaside,36.1627,-86.7816
890 Aspen Lane,1700,3,2,House,1300,1.31,Medium,Monthly,Unfurnished,Residential,2023-09-27,14,Beachfront,Sunset Bay,25.7617,-80.1918
678 Maplewood Avenue,1350,2,1,Apartment,950,1.42,Medium,Monthly,Furnished,Residential,2023-09-26,15,Historic District,Oldsville,42.3601,-71.0589
910 Redwood Terrace,2100,4,3,House,2200,0.95,High,Monthly,Partially Furnished,Residential,2023-09-24,17,Suburban,Cedarville,32.7767,-96.797
567 Pinewood Drive,950,1,1,Condo,550,1.73,Low,Monthly,Unfurnished,Residential,2023-10-01,10,Village,Woodland,38.5816,-121.4944
234 Evergreen Road,850,1,1,Studio,450,1.89,Low,Monthly,Furnished,Residential,2023-10-07,4,University District,College Town,34.0522,-118.2437
789 Sycamore Lane,1600,2,2,Apartment,1200,1.33,Medium,Monthly,Partially Furnished,Residential,2023-10-03,8,Riverside,River City,29.9511,-90.0715
345 Elmwood Street,1900,3,2,Townhouse,1400,1.36,Medium,Monthly,Furnished,Residential,2023-09-30,11,Downtown,Metro City,41.2565,-95.9345
123 Pinecrest Avenue,1300,2,1,Apartment,850,1.53,Medium,Monthly,Unfurnished,Residential,2023-09-28,13,Midtown,Centreville,39.7392,-104.9903
456 Oakwood Terrace,2800,4,3,House,2700,1.04,High,Monthly,Furnished,Residential,2023-09-29,12,Hillside,Hillcrest,40.7128,-74.006
