Address,Rent,Beds,Baths,Type,Area_in_sqft,Rent_per_sqft,Rent_category,Frequency,Furnishing,Purpose,Posted_date,Age_of_listing_in_days,Location,City,Latitude,Longitude
"Cherrywoods, Dubailand, Dubai",200000,3,4,Townhouse,2232,89.61,High,Yearly,Unfurnished,For Rent,03-01-2024,109,Dubailand,Dubai,25.05865715,55.24599921
"DAMAC Heights, Dubai Marina, Dubai",360000,3,4,Apartment,1948,184.8,High,Yearly,Furnished,For Rent,03-01-2024,109,Dubai Marina,Dubai,25.0786415,55.1352524
123 Maple St,1500,2,1,Apartment,800,1.88,Medium,Monthly,Unfurnished,Residential,2023-10-01,10,Downtown,Springfield,39.7817,-89.6501
456 Oak Ave,1200,1,1,Condo,600,2.0,Medium,Monthly,Furnished,Residential,2023-09-25,16,Midtown,Riverview,27.8573,-82.3265
789 Pine Dr,2200,3,2,House,1500,1.47,High,Monthly,Semi-furnished,Residential,2023-10-05,6,Suburb,Lakeview,34.0522,-118.2437
101 Elm St,900,1,1,Apartment,500,1.8,Low,Monthly,Unfurnished,Residential,2023-09-28,13,City Center,Greenfield,40.4406,-79.9959
202 Cedar Ln,2700,4,3,House,2000,1.35,High,Monthly,Furnished,Residential,2023-09-20,21,Uptown,Brookside,41.8781,-87.6298
303 Birch Blvd,1600,2,2,Apartment,900,1.78,Medium,Monthly,Semi-furnished,Residential,2023-10-02,9,Downtown,Riverview,27.8573,-82.3265
404 Walnut Way,2000,3,2,Townhouse,1400,1.43,High,Monthly,Unfurnished,Residential,2023-09-30,11,Suburb,Springfield,39.7817,-89.6501
505 Cedar Ln,1000,1,1,Condo,650,1.54,Low,Monthly,Furnished,Residential,2023-09-18,23,Midtown,Brookside,41.8781,-87.6298
606 Spruce St,1800,2,2,Apartment,1100,1.64,Medium,Monthly,Unfurnished,Residential,2023-10-03,8,City Center,Lakeview,34.0522,-118.2437
707 Willow Way,1400,2,1,Apartment,750,1.87,Medium,Monthly,Semi-furnished,Residential,2023-09-27,14,Suburb,Greenfield,40.4406,-79.9959
808 Maple Ave,950,1,1,Studio,400,2.38,Low,Monthly,Furnished,Residential,2023-10-06,5,Downtown,Riverview,27.8573,-82.3265
909 Pine St,2500,3,2,House,1600,1.56,High,Monthly,Unfurnished,Residential,2023-09-29,12,Uptown,Springfield,39.7817,-89.6501
1010 Birch Blvd,1300,2,1,Apartment,700,1.86,Medium,Monthly,Semi-furnished,Residential,2023-10-04,7,Midtown,Brookside,41.8781,-87.6298
1111 Walnut Ave,1100,1,1,Condo,550,2.0,Low,Monthly,Furnished,Residential,2023-09-26,15,City Center,Lakeview,34.0522,-118.2437
1212 Cedar St,1450,2,2,Apartment,800,1.81,Medium,Monthly,Unfurnished,Residential,2023-10-07,4,Suburb,Greenfield,40.4406,-79.9959
1313 Spruce Ln,1900,3,2,House,1300,1.46,High,Monthly,Semi-furnished,Residential,2023-09-19,22,Downtown,Riverview,27.8573,-82.3265
1414 Willow Blvd,980,1,1,Studio,450,2.18,Low,Monthly,Furnished,Residential,2023-09-21,20,Midtown,Springfield,39.7817,-89.6501
1515 Maple St,2300,4,3,House,1800,1.28,High,Monthly,Unfurnished,Residential,2023-09-24,17,Uptown,Brookside,41.8781,-87.6298
1616 Pine Ave,1250,2,1,Apartment,750,1.67,Medium,Monthly,Semi-furnished,Residential,2023-09-23,18,City Center,Lakeview,34.0522,-118.2437
1717 Birch Ave,1150,1,1,Condo,600,1.92,Low,Monthly,Furnished,Residential,2023-09-22,19,Suburb,Greenfield,40.4406,-79.9959
1818 Walnut St,1650,2,2,Apartment,950,1.74,Medium,Monthly,Unfurnished,Residential,2023-09-17,24,Downtown,Riverview,27.8573,-82.3265
