Address,Rent,Beds,Baths,Type,Area_in_sqft,Rent_per_sqft,Rent_category,Frequency,Furnishing,Purpose,Posted_date,Age_of_listing_in_days,Location,City,Latitude,Longitude
"Cherrywoods, Dubailand, Dubai",200000,3,4,Townhouse,2232,89.61,High,Yearly,Unfurnished,For Rent,03-01-2024,109,Dubailand,Dubai,25.05865715,55.24599921
"DAMAC Heights, Dubai Marina, Dubai",360000,3,4,Apartment,1948,184.8,High,Yearly,Furnished,For Rent,03-01-2024,109,Dubai Marina,Dubai,25.0786415,55.1352524
123 Maple St,1200,1,1,Apartment,650,1.85,Low,Monthly,Unfurnished,Residential,2023-10-01,5,Downtown,Springfield,39.7817,-89.6501
456 Oak Ave,2500,3,2,House,1500,1.67,Medium,Monthly,Furnished,Residential,2023-09-20,16,Suburbs,Springfield,39.7817,-89.6501
789 Pine Rd,3400,4,3,House,2000,1.7,High,Monthly,Partially Furnished,Residential,2023-09-25,11,Uptown,Springfield,39.7817,-89.6501
321 Cedar Blvd,850,1,1,Apartment,500,1.7,Low,Monthly,Unfurnished,Residential,2023-10-03,3,Midtown,Springfield,39.7817,-89.6501
654 Birch Ln,1800,2,2,Condo,1200,1.5,Medium,Monthly,Furnished,Residential,2023-09-28,8,Downtown,Springfield,39.7817,-89.6501
987 Spruce St,4000,5,4,House,2500,1.6,High,Monthly,Unfurnished,Residential,2023-09-15,21,Suburbs,Springfield,39.7817,-89.6501
246 Elm St,1100,1,1,Apartment,600,1.83,Low,Monthly,Partially Furnished,Residential,2023-10-02,4,Uptown,Springfield,39.7817,-89.6501
135 Walnut St,2900,3,3,Condo,1600,1.81,Medium,Monthly,Furnished,Residential,2023-09-22,14,Midtown,Springfield,39.7817,-89.6501
579 Chestnut Ave,3100,4,3,House,1800,1.72,High,Monthly,Unfurnished,Residential,2023-09-19,17,Downtown,Springfield,39.7817,-89.6501
864 Willow Dr,950,1,1,Apartment,550,1.73,Low,Monthly,Furnished,Residential,2023-10-04,2,Suburbs,Springfield,39.7817,-89.6501
159 Aspen Ct,1350,2,1,Apartment,800,1.69,Low,Monthly,Partially Furnished,Residential,2023-09-30,4,Uptown,Springfield,39.7817,-89.6501
687 Poplar Ln,2700,3,2,House,1400,1.93,Medium,Monthly,Unfurnished,Residential,2023-09-27,9,Midtown,Springfield,39.7817,-89.6501
431 Fir St,2300,2,2,Condo,1300,1.77,Medium,Monthly,Furnished,Residential,2023-09-23,13,Downtown,Springfield,39.7817,-89.6501
753 Maple Ave,3700,4,3,House,1900,1.95,High,Monthly,Partially Furnished,Residential,2023-09-18,18,Suburbs,Springfield,39.7817,-89.6501
862 Cedar Rd,600,0,1,Studio,350,1.71,Low,Monthly,Unfurnished,Residential,2023-10-05,1,Uptown,Springfield,39.7817,-89.6501
248 Birch St,1900,3,1,Apartment,1100,1.73,Medium,Monthly,Furnished,Residential,2023-09-29,7,Midtown,Springfield,39.7817,-89.6501
486 Pine Blvd,3600,4,3,House,2200,1.64,High,Monthly,Unfurnished,Residential,2023-09-17,19,Downtown,Springfield,39.7817,-89.6501
123 Oak Ln,1050,1,1,Apartment,550,1.91,Low,Monthly,Partially Furnished,Residential,2023-10-01,5,Suburbs,Springfield,39.7817,-89.6501
654 Willow Blvd,2750,3,2,Condo,1450,1.9,Medium,Monthly,Furnished,Residential,2023-09-26,10,Uptown,Springfield,39.7817,-89.6501
987 Elm Ave,4200,5,4,House,2600,1.62,High,Monthly,Unfurnished,Residential,2023-09-14,22,Midtown,Springfield,39.7817,-89.6501
246 Aspen St,1400,2,1,Apartment,750,1.87,Low,Monthly,Partially Furnished,Residential,2023-10-02,4,Downtown,Springfield,39.7817,-89.6501
